File Name,Target ID,Image ID,Race,Gender,Expression,age_low,age_high,smile_value,smile_confidence,gender_value,gender_confidence,top_emotion
CFD-WM-026-019-A.jpg,WM-026,019,W,M,A,22,34,False,97.71141052246094,Male,81.99056243896484,ANGRY
CFD-WM-026-006-HO.jpg,WM-026,006,W,M,HO,22,34,True,98.8087158203125,Male,96.58326721191406,HAPPY
CFD-WM-026-004-HC.jpg,WM-026,004,W,M,HC,22,34,False,94.57305908203125,Female,52.5289306640625,CALM
CFD-WM-026-001-N.jpg,WM-026,001,W,M,N,22,34,False,99.66425323486328,Female,59.811038970947266,CONFUSED
CFD-WM-026-013-F.jpg,WM-026,013,W,M,F,22,34,False,94.76698303222656,Female,69.6302719116211,FEAR
CFD-WM-214-026-N.jpg,WM-214,026,W,M,N,21,33,False,99.9340591430664,Male,95.84945678710938,CALM
CFD-LF-247-051-N.jpg,LF-247,051,L,F,N,22,34,False,99.18281555175781,Female,99.430419921875,CALM
CFD-BM-247-240-N.jpg,BM-247,240,B,M,N,19,31,False,94.44003295898438,Male,97.44233703613281,CALM
CFD-WM-019-006-HC.jpg,WM-019,006,W,M,HC,22,34,True,96.71893310546875,Male,59.856658935546875,HAPPY
CFD-WM-019-013-A.jpg,WM-019,013,W,M,A,31,47,False,86.72901153564453,Male,61.8060302734375,CONFUSED
CFD-WM-019-017-F.jpg,WM-019,017,W,M,F,20,32,True,95.09558868408203,Male,95.2229232788086,HAPPY
CFD-WM-019-003-N.jpg,WM-019,003,W,M,N,22,34,False,99.3478012084961,Male,88.48943328857422,CALM
CFD-WM-019-009-HO.jpg,WM-019,009,W,M,HO,23,35,True,99.85115814208984,Female,56.21258544921875,HAPPY
CFD-LF-240-199-N.jpg,LF-240,199,L,F,N,26,40,False,99.93279266357422,Female,96.70465087890625,CALM
CFD-AM-250-149-N.jpg,AM-250,149,A,M,N,22,34,False,99.7695083618164,Male,99.19904327392578,CALM
CFD-WM-213-076-N.jpg,WM-213,076,W,M,N,22,34,False,98.53897857666016,Male,98.84971618652344,CALM
CFD-WM-021-004-HO.jpg,WM-021,004,W,M,HO,23,35,True,99.9754638671875,Male,99.64746856689453,HAPPY
CFD-WM-021-006-HC.jpg,WM-021,006,W,M,HC,23,37,True,99.66326141357422,Male,99.50000762939453,HAPPY
CFD-WM-021-001-N.jpg,WM-021,001,W,M,N,23,35,False,99.56775665283203,Male,99.26634216308594,CALM
CFD-WM-021-009-A.jpg,WM-021,009,W,M,A,22,34,False,97.71900939941406,Male,99.70577239990234,ANGRY
CFD-BM-240-207-N.jpg,BM-240,207,B,M,N,22,34,False,99.69703674316406,Male,99.11296081542969,CALM
CFD-WM-225-127-N.jpg,WM-225,127,W,M,N,27,43,False,99.84796905517578,Male,98.73301696777344,CALM
CFD-BM-249-235-N.jpg,BM-249,235,B,M,N,20,32,False,99.36793518066406,Male,68.60157012939453,CALM
CFD-WM-017-005-HO.jpg,WM-017,005,W,M,HO,22,34,True,89.8062515258789,Male,99.04730987548828,HAPPY
CFD-WM-017-002-N.jpg,WM-017,002,W,M,N,22,34,False,99.76300048828125,Male,98.6080551147461,CALM
CFD-WM-017-011-A.jpg,WM-017,011,W,M,A,24,38,False,98.2504653930664,Male,99.49295806884766,CONFUSED
CFD-WM-017-019-F.jpg,WM-017,019,W,M,F,22,34,False,96.14334869384766,Male,91.40091705322266,SURPRISED
CFD-WM-017-003-HC.jpg,WM-017,003,W,M,HC,22,34,False,82.76103973388672,Male,98.94178771972656,CALM
CFD-LF-249-132-N.jpg,LF-249,132,L,F,N,24,38,False,98.62681579589844,Female,99.51249694824219,CALM
CFD-WM-028-007-HO.jpg,WM-028,007,W,M,HO,20,32,True,99.77053833007812,Male,95.09571838378906,HAPPY
CFD-WM-028-003-N.jpg,WM-028,003,W,M,N,21,33,False,99.28623962402344,Male,91.6937026977539,CALM
CFD-WM-028-029-A.jpg,WM-028,029,W,M,A,22,34,False,95.72771453857422,Male,91.44258880615234,CONFUSED
CFD-WM-028-005-HC.jpg,WM-028,005,W,M,HC,14,26,True,97.96871948242188,Male,81.11721801757812,HAPPY
CFD-WM-028-019-F.jpg,WM-028,019,W,M,F,22,34,False,78.14614868164062,Male,79.76924896240234,FEAR
CFD-BM-044-051-F.jpg,BM-044,051,B,M,F,32,48,True,88.42391204833984,Male,97.45658874511719,SURPRISED
CFD-BM-044-001-N.jpg,BM-044,001,B,M,N,33,49,False,99.53491973876953,Male,98.10531616210938,CALM
CFD-BM-044-037-HO.jpg,BM-044,037,B,M,HO,31,47,True,99.90718078613281,Male,99.8482437133789,HAPPY
CFD-BM-044-038-HC.jpg,BM-044,038,B,M,HC,32,48,True,98.7451171875,Male,99.80859375,HAPPY
CFD-WM-010-001-N.jpg,WM-010,001,W,M,N,22,34,False,99.43778228759766,Male,98.1953353881836,CALM
CFD-WM-010-016-A.jpg,WM-010,016,W,M,A,22,34,False,96.73287963867188,Male,99.35810089111328,CONFUSED
CFD-WM-010-007-HC.jpg,WM-010,007,W,M,HC,22,34,False,81.60455322265625,Male,95.5295639038086,CALM
CFD-WM-010-004-HO.jpg,WM-010,004,W,M,HO,22,34,True,89.67914581298828,Male,99.29322052001953,HAPPY
CFD-WM-010-020-F.jpg,WM-010,020,W,M,F,22,34,False,93.9367904663086,Male,97.39896392822266,SURPRISED
CFD-WM-222-057-N.jpg,WM-222,057,W,M,N,26,42,False,99.78875732421875,Male,98.8159408569336,CALM
