worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate
29970629,6799182,5,0,5,0,clixsense,SRB,00,Belgrade,24.135.135.17,,,0,,1.0,0
36242343,3421603,10,0,6,0,clixsense,UKR,12,Kiev,188.163.9.24,,,0,,1.0,300
36725706,8835490,5,0,5,0,clixsense,UKR,13,Kyiv Oblast,178.133.42.7,,,0,,1.0,300
37636971,7BD9D08EFC97355AB0D4CB6DCC18E8F9,0,0,0,0,neodev,,,,,,,0,,1.0,0
37739653,073D13DC6AE76098E0F410E778370DBC,5,0,5,0,neodev,VEN,20,San Cristóbal,190.75.130.216,,,0,,1.0,0
38202325,20007600,0,0,0,0,prodege,,,,,,,0,,1.0,0
38436499,AAED689DBB3FA9AD008D8D1D7EF00A28,5,0,5,0,neodev,VEN,25,Caracas,190.79.219.30,,,0,,1.0,300
39773483,9825478,5,0,5,0,clixsense,UKR,07,Kharkov,178.165.121.183,,,0,,1.0,300
40464223,10080652,10,0,6,0,clixsense,MEX,15,Valle De Chalco,189.217.41.66,,,0,,1.0,600
41507262,E1EE37F5172EA8F773E05796892CA53D,5,0,5,0,neodev,VEN,13,Barquisimeto,186.91.236.62,,,0,,1.0,0
43250263,11183673,5,0,5,0,clixsense,UKR,12,Kiev,178.133.96.16,,,0,,1.0,0
43369373,11238003,5,0,5,0,clixsense,RUS,13,Chelyabinsk,188.19.39.112,,,0,,1.0,0
43487092,BD7A11C6F28905326BDCD589D6BB8CA1,5,0,5,0,neodev,COL,21,Cucuta,181.50.220.51,,,0,,1.0,300
43816281,11744512,5,0,5,0,clixsense,SRB,00,Paracin,45.86.57.229,,,0,,1.0,0
43840260,731FB7C84EB8E3A16B390050D52FDAD3,5,0,5,0,neodev,VEN,20,San Cristóbal,190.199.142.196,,,0,,1.0,300
43842317,11795608,5,0,5,0,clixsense,PRT,17,Rio Tinto,89.154.144.169,,,0,,1.0,0
43988022,12058564,5,0,5,0,clixsense,UKR,14,Bryanka,195.3.134.97,,,0,,1.0,0
44167500,12345453,5,0,5,0,clixsense,RUS,61,Rostov-na-donu,178.155.5.146,,,0,,1.0,0
44193194,5871B99029A6AE68667AD9B74FE239D0,5,0,5,0,neodev,VEN,21,Trujillo,190.73.44.185,,,0,,1.0,0
44302708,5A263F0E7C9BE0D096031965FDA9D41F,5,0,5,0,neodev,VEN,04,Cagua,186.92.179.89,,,0,,1.0,300
44319757,737490E69EB8EBD2E072395DC2023399,5,0,5,0,neodev,VEN,25,Caracas,186.167.242.171,,,0,,1.0,0
44322809,E1EEEBAD7447D7ADD484BCC6EFBF03F5,5,0,5,0,neodev,VEN,15,Cúa,190.206.208.129,,,0,,1.0,0
44344153,7AEB20C2BB72D816AA86FF6CD252D13D,5,0,5,0,neodev,VEN,25,Caracas,186.167.249.117,,,0,,1.0,300
44502282,A0700683FCB88FECB0D4CB6DCC18E8F9,5,0,5,0,neodev,VEN,04,Cagua,190.37.91.210,,,0,,1.0,0
44510146,12944192,5,0,5,0,clixsense,UKR,"","",37.73.18.224,,,0,,1.0,300
44531200,3B2FA5AFEA666675999200CE4C413AA0,5,0,5,0,neodev,VEN,23,Maracaibo,190.124.30.130,,,0,,1.0,0
44538890,Dinika,5,0,5,0,getpaid,KAZ,16,Smirnovo,92.47.240.73,,,0,,1.0,0
44581371,9E2438C6E0FEFFF8AA5E3A041481982C,0,0,0,0,neodev,,,,,,,0,,1.0,0
44585045,13097789,0,0,0,0,clixsense,,,,,,,0,,1.0,0
