File Name,Target ID,Race,Gender,Emotion,Age,Origin,amazon_age_low,amazon_age_high,amazon_smile,amazon_smile_confidence,amazon_gender,amazon_gender_confidence,amazon_emotion,clarifai_race,clarifai_race_confidence,clarifai_gender,clarifai_gender_confidence,clarifai_age,clarifai_age_confidence,face++_gender,face++_age,face++_emotion,face++_smile,microsoft_gender,microsoft_age,microsoft_emotion,microsoft_smile,amazon_age_average,microsoft_smile_confidence
CFD-WM-026-019-A.jpg,WM-026,4,2,1,25,CFD,22,34,0,97.71141052246094,2,81.99056243896484,1,3,0.457293779,2,0.990513623,36,0.491376132,2,31,2,0,2,22.0,2,0,28.0,0.001
CFD-WM-026-006-HO.jpg,WM-026,4,2,5,25,CFD,22,34,1,98.8087158203125,2,96.58326721191406,5,4,0.993373156,2,0.97951901,39,0.407927036,2,29,5,1,2,21.0,5,1,28.0,1.0
CFD-WM-026-004-HC.jpg,WM-026,4,2,5,25,CFD,22,34,0,94.57305908203124,1,52.5289306640625,2,4,0.973846555,2,0.994148493,27,0.548630714,2,31,2,0,2,23.0,5,1,28.0,0.774
CFD-WM-026-001-N.jpg,WM-026,4,2,2,25,CFD,22,34,0,99.66425323486328,1,59.81103897094727,0,4,0.975381017,2,0.997048795,28,0.50146091,2,25,2,0,2,21.0,2,0,28.0,0.0
CFD-WM-026-013-F.jpg,WM-026,4,2,4,25,CFD,22,34,0,94.76698303222656,1,69.63027191162111,4,4,0.967802167,2,0.998019338,28,0.49687725299999996,2,24,1,0,2,23.0,7,0,28.0,0.0
CFD-WM-214-026-N.jpg,WM-214,4,2,2,25,CFD,21,33,0,99.9340591430664,2,95.84945678710938,2,4,0.99601382,2,0.9979268309999999,28,0.44923847899999997,2,21,2,0,2,27.0,2,0,27.0,0.001
CFD-LF-247-051-N.jpg,LF-247,3,1,2,29,CFD,22,34,0,99.1828155517578,1,99.430419921875,2,3,0.504348814,1,0.628055811,39,0.801350236,2,28,2,0,1,30.0,2,0,28.0,0.0
CFD-BM-247-240-N.jpg,BM-247,2,2,2,21,CFD,19,31,0,94.44003295898438,2,97.4423370361328,2,2,0.999036252,2,0.999144197,39,0.5165579920000001,2,23,2,0,2,20.0,2,0,25.0,0.0
CFD-WM-019-006-HC.jpg,WM-019,4,2,5,25,CFD,22,34,1,96.71893310546876,2,59.85665893554688,5,4,0.538804531,2,0.984253347,36,0.612198472,2,28,5,1,2,25.0,5,1,28.0,0.993
CFD-WM-019-013-A.jpg,WM-019,4,2,1,25,CFD,31,47,0,86.72901153564453,2,61.8060302734375,0,1,0.528280735,2,0.976613045,39,0.45154917200000005,2,39,3,0,2,29.0,1,0,39.0,0.002
CFD-WM-019-017-F.jpg,WM-019,4,2,4,25,CFD,20,32,1,95.09558868408205,2,95.2229232788086,5,4,0.5883628129999999,2,0.9560855629999999,28,0.525612235,2,27,5,1,2,25.0,5,1,26.0,0.998
CFD-WM-019-003-N.jpg,WM-019,4,2,2,25,CFD,22,34,0,99.3478012084961,2,88.48943328857422,2,3,0.753053367,2,0.99798578,36,0.469930291,2,30,2,0,2,25.0,2,0,28.0,0.0
CFD-WM-019-009-HO.jpg,WM-019,4,2,5,25,CFD,23,35,1,99.85115814208984,1,56.21258544921875,5,4,0.6988223790000001,2,0.942138791,36,0.5586613420000001,2,26,5,1,2,26.0,5,1,29.0,1.0
CFD-LF-240-199-N.jpg,LF-240,3,1,2,43,CFD,26,40,0,99.93279266357422,1,96.70465087890624,2,1,0.41996890299999995,1,0.993373156,47,0.512460589,1,58,2,0,1,42.0,2,0,33.0,0.0
CFD-AM-250-149-N.jpg,AM-250,1,2,2,25,CFD,22,34,0,99.7695083618164,2,99.19904327392578,2,1,0.39682593899999996,2,0.99925673,23,0.674060047,2,25,2,0,2,19.0,2,0,28.0,0.001
CFD-WM-213-076-N.jpg,WM-213,4,2,2,26,CFD,22,34,0,98.53897857666016,2,98.84971618652344,2,4,0.964430928,2,0.999741971,39,0.677197218,2,40,2,0,2,29.0,2,0,28.0,0.018000000000000002
CFD-WM-021-004-HO.jpg,WM-021,4,2,5,29,CFD,23,35,1,99.9754638671875,2,99.64746856689452,5,1,0.686753273,2,0.9984996909999999,36,0.690795422,2,26,5,1,2,31.0,5,1,29.0,1.0
CFD-WM-021-006-HC.jpg,WM-021,4,2,5,29,CFD,23,37,1,99.66326141357422,2,99.50000762939452,5,1,0.8259127740000001,2,0.9997751709999999,36,0.709051907,2,24,5,1,2,31.0,5,1,30.0,1.0
CFD-WM-021-001-N.jpg,WM-021,4,2,2,29,CFD,23,35,0,99.56775665283205,2,99.26634216308594,2,5,0.726135254,2,0.9997598529999999,36,0.632671356,2,27,2,0,2,27.0,2,0,29.0,0.0
CFD-WM-021-009-A.jpg,WM-021,4,2,1,29,CFD,22,34,0,97.71900939941406,2,99.70577239990234,1,5,0.578574896,2,0.998908162,33,0.566696882,2,28,2,0,2,28.0,2,0,28.0,0.0
CFD-BM-240-207-N.jpg,BM-240,2,2,2,24,CFD,22,34,0,99.69703674316406,2,99.11296081542969,2,2,0.996724367,2,0.999189496,36,0.546548665,2,23,2,0,2,21.0,2,0,28.0,0.0
CFD-WM-225-127-N.jpg,WM-225,4,2,2,36,CFD,27,43,0,99.84796905517578,2,98.73301696777344,2,4,0.998380303,2,0.90674305,55,0.50934881,2,43,2,0,2,36.0,2,0,35.0,0.0
CFD-BM-249-235-N.jpg,BM-249,2,2,2,19,CFD,20,32,0,99.36793518066406,2,68.60157012939453,2,2,0.993748188,2,0.9998810290000001,24,0.459184706,2,22,2,0,2,17.0,2,0,26.0,0.0
CFD-WM-017-005-HO.jpg,WM-017,4,2,5,23,CFD,22,34,1,89.8062515258789,2,99.04730987548828,5,4,0.999706268,2,0.999767065,33,0.583271027,2,41,5,1,2,28.0,5,1,28.0,0.9990000000000001
CFD-WM-017-002-N.jpg,WM-017,4,2,2,23,CFD,22,34,0,99.76300048828124,2,98.6080551147461,2,4,0.993852258,2,0.997795463,29,0.5204293729999999,2,30,2,0,2,28.0,2,0,28.0,0.0
CFD-WM-017-011-A.jpg,WM-017,4,2,1,23,CFD,24,38,0,98.2504653930664,2,99.49295806884766,0,4,0.998215437,2,0.9996126890000001,33,0.521463811,2,33,3,0,2,28.0,2,0,31.0,0.0
CFD-WM-017-019-F.jpg,WM-017,4,2,4,23,CFD,22,34,0,96.14334869384766,2,91.40091705322266,7,4,0.997025013,2,0.985758185,27,0.456459224,2,29,7,0,2,30.0,7,0,28.0,0.0
CFD-WM-017-003-HC.jpg,WM-017,4,2,5,23,CFD,22,34,0,82.76103973388672,2,98.94178771972656,2,4,0.999594152,2,0.9995633359999999,33,0.55026108,2,36,2,0,2,28.0,2,0,28.0,0.47700000000000004
CFD-LF-249-132-N.jpg,LF-249,3,1,2,28,CFD,24,38,0,98.62681579589844,1,99.5124969482422,2,3,0.681001902,1,0.98712039,39,0.661759377,1,66,2,0,1,24.0,2,0,31.0,0.001
CFD-WM-028-007-HO.jpg,WM-028,4,2,5,24,CFD,20,32,1,99.77053833007812,2,95.09571838378906,5,5,0.380310804,2,0.999521852,29,0.527659774,2,28,5,1,2,25.0,5,1,26.0,1.0
CFD-WM-028-003-N.jpg,WM-028,4,2,2,24,CFD,21,33,0,99.28623962402344,2,91.6937026977539,2,5,0.613185406,2,0.999778152,36,0.487074137,2,25,2,0,2,23.0,2,0,27.0,0.001
CFD-WM-028-029-A.jpg,WM-028,4,2,1,24,CFD,22,34,0,95.72771453857422,2,91.44258880615234,0,3,0.545164585,2,0.9996205570000001,36,0.527234554,2,34,1,0,2,24.0,2,0,28.0,0.001
CFD-WM-028-005-HC.jpg,WM-028,4,2,5,24,CFD,14,26,1,97.96871948242188,2,81.11721801757812,5,5,0.39238327700000003,2,0.9976757759999999,36,0.45114278799999996,2,34,5,1,2,25.0,5,1,20.0,1.0
CFD-WM-028-019-F.jpg,WM-028,4,2,4,24,CFD,22,34,0,78.14614868164062,2,79.76924896240234,4,1,0.25656676300000003,2,0.999785066,36,0.532208264,2,31,4,1,2,25.0,4,0,28.0,0.0
