File Name,Target ID,Image ID,Race,Gender,Expression,Clarifai Race,Race Confidence,Clarifai Gender,Gender Confidence,Clarifai Age,Age Confidence
CFD-LF-212-066-N.jpg,LF-212,66,L,F,N,asian,0.446270734,feminine,0.883453608,1,0.91731447
CFD-BF-205-141-N.jpg,BF-205,141,B,F,N,black or african american,0.999764085,masculine,0.931100965,1,0.450995803
CFD-WF-030-002-N.jpg,WF-030,2,W,F,N,white,0.887472868,masculine,0.553332925,1,0.47459504
CFD-WF-001-003-N.jpg,WF-001,3,W,F,N,white,0.966460943,masculine,0.955750823,1,0.527979195
CFD-LF-239-148-N.jpg,LF-239,148,L,F,N,"hispanic, latino, or spanish origin",0.429595888,feminine,0.833086014,1,0.740187883
CFD-BF-237-172-N.jpg,BF-237,172,B,F,N,black or african american,0.998790205,masculine,0.707508206,1,0.514013171
CFD-LF-215-157-N.jpg,LF-215,157,L,F,N,asian,0.348742336,masculine,0.749090314,11,0.403213471
CFD-BF-041-004-HO.jpg,BF-041,4,B,F,HO,black or african american,0.987703085,feminine,0.985342383,11,0.910187602
CFD-BF-041-001-N.jpg,BF-041,1,B,F,N,black or african american,0.854962945,feminine,0.619435787,11,0.928949296
CFD-BF-041-018-F.jpg,BF-041,18,B,F,F,black or african american,0.989701867,masculine,0.716198683,11,0.837915242
CFD-BF-041-038-HC.jpg,BF-041,38,B,F,HC,black or african american,0.998968959,feminine,0.950597525,11,0.939122558
CFD-BF-041-047-A.jpg,BF-041,47,B,F,A,black or african american,0.987922668,feminine,0.960913301,11,0.983919024
CFD-BF-040-081-F.jpg,BF-040,81,B,F,F,black or african american,0.998470664,masculine,0.765068412,11,0.563195407
CFD-LF-227-054-N.jpg,LF-227,54,L,F,N,"hispanic, latino, or spanish origin",0.535617113,masculine,0.969312787,12,0.577961564
CFD-WF-009-001-N.jpg,WF-009,1,W,F,N,white,0.994490862,masculine,0.991687775,13,0.831257582
CFD-BF-045-003-N.jpg,BF-045,3,B,F,N,black or african american,0.987865567,masculine,0.920102239,13,0.564822018
CFD-LF-211-003-N.jpg,LF-211,3,L,F,N,"hispanic, latino, or spanish origin",0.325913072,masculine,0.998874426,14,0.557253361
CFD-WF-211-001-N.jpg,WF-211,1,W,F,N,white,0.977395535,feminine,0.821881652,15,0.399071932
CFD-WF-242-001-N.jpg,WF-242,1,W,F,N,white,0.336102486,feminine,0.994003415,16,0.696500301
CFD-WF-223-133-N.jpg,WF-223,133,W,F,N,white,0.805813432,feminine,0.775406599,16,0.538793087
CFD-LF-209-072-N.jpg,LF-209,72,L,F,N,asian,0.745132208,feminine,0.98765707,22,0.421667397
CFD-LF-228-125-N.jpg,LF-228,125,L,F,N,"hispanic, latino, or spanish origin",0.726051927,feminine,0.501260459,22,0.34938097
CFD-BM-037-038-HC.jpg,BM-037,38,B,M,HC,black or african american,0.99869132,masculine,0.962000966,22,0.387400866
CFD-AM-250-149-N.jpg,AM-250,149,A,M,N,asian,0.396825939,masculine,0.99925673,23,0.674060047
CFD-BM-248-128-N.jpg,BM-248,128,B,M,N,black or african american,0.840549827,masculine,0.996822,23,0.630965114
CFD-LF-223-064-N.jpg,LF-223,64,L,F,N,asian,0.438452899,masculine,0.712373257,23,0.411804974
CFD-BM-029-020-F.jpg,BM-029,20,B,M,F,black or african american,0.998762727,masculine,0.999911904,23,0.508060694
CFD-BF-009-024-A.jpg,BF-009,24,B,F,A,black or african american,0.999540687,feminine,0.627168894,23,0.582051635
CFD-BF-009-019-F.jpg,BF-009,19,B,F,F,black or african american,0.99850601,masculine,0.913020849,23,0.456235439
CFD-BF-038-026-F.jpg,BF-038,26,B,F,F,black or african american,0.99986124,masculine,0.523312271,23,0.429446399
CFD-BF-038-029-A.jpg,BF-038,29,B,F,A,black or african american,0.941893876,masculine,0.797406614,23,0.56596297
CFD-WF-007-005-HC.jpg,WF-007,5,W,F,HC,white,0.893915653,masculine,0.657434523,23,0.567005932
CFD-WF-007-001-N.jpg,WF-007,1,W,F,N,white,0.976431131,masculine,0.900407672,23,0.75637269
CFD-WF-203-229-N.jpg,WF-203,229,W,F,N,"hispanic, latino, or spanish origin",0.393627316,masculine,0.988192439,23,0.548002839
CFD-LM-250-077-N.jpg,LM-250,77,L,M,N,white,0.527282953,masculine,0.999347508,23,0.604141593
CFD-BF-039-033-HO.jpg,BF-039,33,B,F,HO,black or african american,0.999994755,feminine,0.525174916,23,0.56107378
CFD-BF-008-018-F.jpg,BF-008,18,B,F,F,black or african american,0.994118452,feminine,0.652338803,23,0.551719666
CFD-WF-037-029-N.jpg,WF-037,29,W,F,N,white,0.513673306,feminine,0.906916857,23,0.667746663
CFD-WF-037-016-A.jpg,WF-037,16,W,F,A,"hispanic, latino, or spanish origin",0.502776206,feminine,0.597297907,23,0.597969651
CFD-WF-039-025-N.jpg,WF-039,25,W,F,N,white,0.739165902,feminine,0.924933434,23,0.579020739
CFD-WF-039-008-HC.jpg,WF-039,8,W,F,HC,white,0.452133238,feminine,0.822213173,23,0.715967536
CFD-WF-039-005-HO.jpg,WF-039,5,W,F,HO,white,0.363472223,feminine,0.982396543,23,0.615498543
CFD-WF-229-004-N.jpg,WF-229,4,W,F,N,middle eastern or north african,0.269845784,masculine,0.930266142,23,0.548207641
CFD-BF-012-020-HC.jpg,BF-012,20,B,F,HC,black or african american,0.999772012,feminine,0.987781048,23,0.51660496
CFD-LM-216-082-N.jpg,LM-216,82,L,M,N,"hispanic, latino, or spanish origin",0.776917219,masculine,0.999913096,23,0.552743912
CFD-LM-243-075-N.jpg,LM-243,75,L,M,N,"hispanic, latino, or spanish origin",0.702521324,masculine,0.999985099,23,0.670921206
CFD-WF-210-086-N.jpg,WF-210,86,W,F,N,white,0.892531991,masculine,0.753014088,23,0.676232636
CFD-BF-014-021-F.jpg,BF-014,21,B,F,F,black or african american,0.999173522,masculine,0.641028583,23,0.567045391
CFD-BF-014-013-A.jpg,BF-014,13,B,F,A,black or african american,0.987577796,masculine,0.99928689,23,0.492891103
CFD-BM-239-136-N.jpg,BM-239,136,B,M,N,black or african american,0.748338759,masculine,0.9950279,23,0.609907746
CFD-BM-201-077-N.jpg,BM-201,77,B,M,N,black or african american,0.999269843,masculine,0.999457598,23,0.685174167
CFD-WM-208-068-N.jpg,WM-208,68,W,M,N,white,0.988424361,masculine,0.999171376,23,0.648439229
CFD-WM-239-128-N.jpg,WM-239,128,W,M,N,white,0.78563863,masculine,0.999746442,23,0.679001808
CFD-WM-253-119-N.jpg,WM-253,119,W,M,N,white,0.279973924,masculine,0.999960721,23,0.673495173
CFD-WM-231-112-N.jpg,WM-231,112,W,M,N,"hispanic, latino, or spanish origin",0.804841757,masculine,0.999978423,23,0.846030831
CFD-WM-236-072-N.jpg,WM-236,72,W,M,N,white,0.993324041,masculine,0.996153951,23,0.714255512
CFD-BM-013-019-F.jpg,BM-013,19,B,M,F,black or african american,0.995836973,masculine,0.999968529,23,0.489521116
CFD-LF-221-002-N.jpg,LF-221,2,L,F,N,"hispanic, latino, or spanish origin",0.965114355,masculine,0.622010589,23,0.535499215
CFD-BM-217-082-N.jpg,BM-217,82,B,M,N,black or african american,0.998701334,masculine,0.996035814,23,0.586917996
CFD-WM-210-057-N.jpg,WM-210,57,W,M,N,white,0.990939021,masculine,0.999937057,23,0.689867318
CFD-WM-217-070-N.jpg,WM-217,70,W,M,N,white,0.953534663,masculine,0.99796617,23,0.566373587
CFD-BM-024-104-F.jpg,BM-024,104,B,M,F,"hispanic, latino, or spanish origin",0.632945001,masculine,0.867035747,23,0.769548416
CFD-BM-023-039-F.jpg,BM-023,39,B,M,F,black or african american,0.991791487,masculine,0.997977376,23,0.611189127
CFD-BM-227-191-N.jpg,BM-227,191,B,M,N,black or african american,0.999880195,masculine,0.998777151,23,0.420263529
CFD-LF-220-120-N.jpg,LF-220,120,L,F,N,"hispanic, latino, or spanish origin",0.858141959,masculine,0.681339145,23,0.456209898
